0	임은하
1	"아, 그걸 안 물어봤네."
2	"너 가나 읽을 줄 알아?"
3	"가나 표야."
4	"다음 주까지 이거 다 외워야 해."
5	"다음 주부터 알려주는 걸 하나도 못 따라가게 되고...@ 개같이 쳐맞는 거지 뭐."
6	"그러니까 꼭 외워와야 해?"
7	"그럼 놀러나 갈래?"
8	"그럼 됐네."
9	"오늘은 첫날이니까 가나 표 외우는 걸 하려고 했는데,@ 다 알면 그냥 놀러나 갈래?"
10	"너 목 마르지 않아?"
11	"카페 가서 뭐라도 사먹자."
12	"왜?"
13	"너도 시켜."
14	"너도 그거 먹을 거면서 아까는 왜 그런 거야?"
15	"취향 참 특이하네."
16	"오늘은 특별한 친구들을 좀 볼 건데..."
17	"후..."
18	"잘 참았다..."
19	"...친구?"
20	"아냐."
21	"아무튼, 오늘은 특별한 가나들을 볼 거야."
22	"응. 조그만 친구들이랑 변신하는 친구들."
23	"먼저 조그만 친구들부터 볼 건데, 작아지는 데에도 나름 특권이 필요하단 말이야.@ 작아질 수 있는 금수저 친구들은 'や', ​'ゆ', ​'よ', ​'つ'​까지 딱 네 개야."
24	"우선 'や', ​'ゆ', ​'よ'​ 세 개부터 볼 건데,@ 작아지면 아무래도 귀여워 보일 거 아냐? 막 쓰다듬고 싶고, 껴안고 싶고."
25	"그래서 얘네들은 다른 글자에 안길 수 있는 건데, 다짜고짜 껴안는다고 아무한테나 안기진 않잖아?"
26	"얘들은 포근하게 껴안아주는 い단 바로 뒤에 안겨서 모음 역할을 하는 친구들이야."
27	"이 친구들을 '요음'이라고 불러. 얘네가 들어가는 단어를 하나씩만 보면@ '감자'라는 뜻인 'じゃがいも', '우유'를 의미하는 'ぎゅうにゅう', 일본의 수도 'とうきょう'가 있어."
28	"어..."
29	"너 아는 애야?"
30	"일단 그럼 하던 수업이나 계속 하자."
31	"'つ'는 촉음이라고 하는데, 대충 말하면 사이시옷이랑 비슷하다고 봐도 되긴 해.@ 발음은 か, が행 앞에서는 ㄱ 받침 발음, は, ば, ぱ행 앞에서는 ㅂ 받침 발음이고, 나머지는 ㅅ 받침 발음이야."
32	"어... 난쟁이?"
33	"아무튼, 변신하는 친구는 'ん'​, 'は'​, 'へ'​인데, 생긴 게 달라지는 건 아니고, 발음이 달라져."
34	"우선 'ん'은, ま, ば, ぱ행 뒤에서는 ㅁ 받침 발음, さ, ざ, た, だ, な, ら행 뒤에서는 ㄴ 받침 발음이고,@ 나머지 글자 뒤에서는 ㅇ 발음이야."
35	"낭...만?"
36	"아무튼, 'は'는 조사로 쓰일 때 'わ'랑 발음이 같아지고, 'へ'는 'え'랑 발음이 같아져."
37	"음..."
38	"일단 오늘은 이 정도로 하면 될 것 같은데... 더 궁금한 거 있어?"
39	"나도!"
40	"아, 저번에 가나는 다 안다고 했었지?"
41	"...그럼 뭐하지?"
42	"오늘은 나 먼저 갈게!"
43	"야!"
44	"오늘 너희 집에서 생일 파티 할 건데 너도 올래?"
45	"당연한 소리!"
46	"아무튼 빨리 와!"
47	"귀찮은데..."
48	"어디 보자... 컴퓨터 비밀번호가..."
49	"빨리 왔네?"
50	"おたんじょうび おめでとう!"
51	"생일 축하한다고."
52	"그런 의미에서!"
53	"오늘은 장음이랑 간단한 문장을 볼 거야."
54	"오늘은 무슨 요일?"
55	"그럼 뭘 해야 돼?"
56	"낮잠?!"
57	"거봐, 너도 알면서."
58	"아무튼, 내가 아까 말했던 'おめでとう'는 '축하한다'라는 뜻이야."
59	"그건 '생일'이라는 뜻이야. 원래 한자로는 '誕生日'이라서 '탄생일'이긴 한데,@ 우리나라에서는 '탄생일'이라고는 안 하니까."
60	"'おめでとう'랑 비슷한 걸로 'ありがとう'가 있는데, 무슨 뜻인지는 알지?"
61	"근데, 뭔가 이상하지 않아?"
62	"맨 끝에 'う'가 있는데, 못 들은 것 같지 않아?"
63	"너도 참 둔감하긴 하구나."
64	"..."
65	"아무튼, 저런 게 바로 '장음'이라는 건데, 그 전에 먼저, 일본어는 우리말이랑은 다르게 '박자'를 잘 맞춰야 하는 리드미컬한 언어야."
66	"이 '박자' 차이로 단어의 뜻이 달라지기도 해. 예를 들어서 'おばあさん'는 '할머니',@ 'おばさん'는 '아주머니'라는 뜻이고, 'おじいさん'는 '할아버지', 'おじさん'는 '아저씨'라는 뜻이 돼."
67	"'おばあさん'을 보면, 'ば' 뒤에 'あ'가 있잖아? 이런 식으로 모음 부분이 같은 'あ'행이 바로 뒤에 오면 장음이 되고,@ 또, 'え'단 뒤에 'い'가 와도 장음이 돼. 아까 봤던 것처럼 'お'단 뒤에 'う'가 와도 마찬가지야."
68	"아아, 중요한 걸 빼먹었어."
69	"요음은 길이가 없고, 촉음은 다른 가나들이랑 길이가 똑같아. 또, 아까 먼저 얘기하긴 했는데,@ 자음이 같은 가나의 모임을 '행', 모음이 같은 가나의 모임을 '단'이라고 해. 'ん'은 아무 데도 안 들어가고."
70	"끝!"
71	"I lost my keyboard"
72	테스트를 계속한다.
73	無限ループ
74	"내가 없어져볼게~"
75	"내가 다시 나타나볼게~"
76	"1찍... 아니아니 아까 1번 선택지를 고른 당신!"
77	"더 테스트할 명령어라던가 없나?"
78	"여기서는 좀 그런 것 같고..."
79	"여기가 좋겠군."
80	"내 마우스가 어떤가?"
81	"중국어 들어."
82	"일본어는 내가 알려줄게."
83	"そうだよ。"
84	"아무튼, 개학하면 알려줄게."
85	"그렇게 못 믿겠다는 듯이 보지 말고~"
